Name;KG DIN 276;Fläche;Bezugsgröße;eLCA BT ID
Gründung;320;100;m²;450113
Fassade Nord;330;124,12;m²;b024a8b8-2695-4b0e-b071-e5db39b5e4ad
Fassade West;330;74,24;m²;450081
Fassade Ost;330;60;m²;a8b8d598-1ca5-41d7-b898-2a16af97be19
Fassade Süd;330;60;m²;a8b8d598-1ca5-41d7-b898-2a16af97be19
Innenwand GK;340;30;m²;0eeeda9b-a392-4758-a719-e73aed9642ef 
Innenwand WC;340;12;m²;450122
Decke EG Stb;350;100;m²;450144
Decke OG Holz;350;100;m²;9263be6d-df50-4c00-885b-29951e50eef9 
Sparrendach;360;300;m²;14bc4d03-2662-4a97-ac9e-25fe156c1fa5 
Innentür;;6;Stück;535666
